bus_0069b.1,bus_0069b.2,bus_0069b.3,bus_0065.1,bus_0065.2,bus_0065.3,bus_0066.1,bus_0066.2,bus_0066.3,bus_0067.1,bus_0067.2,bus_0067.3,bus_0068.1,bus_0068.2,bus_0068.3,bus_0069.1,bus_0069.2,bus_0069.3,bus_0070.1,bus_0070.2,bus_0070.3,bus_0071.1,bus_0071.2,bus_0071.3,bus_0072.1,bus_0072.2,bus_0072.3,bus_0073.1,bus_0073.2,bus_0073.3,bus_0074.1,bus_0074.2,bus_0074.3,bus_0075.1,bus_0075.2,bus_0075.3,bus_0069a.1,bus_0069a.2,bus_0069a.3,bus_0076.1,bus_0076.2,bus_0076.3,bus_0077.1,bus_0077.2,bus_0077.3,bus_0078.1,bus_0078.2,bus_0078.3,bus_0079.1,bus_0079.2,bus_0079.3,bus_0080.1,bus_0080.2,bus_0080.3,bus_0081.1,bus_0081.2,bus_0081.3,bus_0082.1,bus_0082.2,bus_0082.3,bus_0083.1,bus_0083.2,bus_0083.3,bus_0084.1,bus_0084.2,bus_0084.3,bus_0085.1,bus_0085.2,bus_0085.3,bus_0086.1,bus_0086.2,bus_0086.3,bus_0087.1,bus_0087.2,bus_0087.3,bus_0088.1,bus_0088.2,bus_0088.3,bus_0089.1,bus_0089.2,bus_0089.3,bus_0090.1,bus_0090.2,bus_0090.3,bus_0091.1,bus_0091.2,bus_0091.3,bus_0092.1,bus_0092.2,bus_0092.3,bus_0093.1,bus_0093.2,bus_0093.3,bus_0094.1,bus_0094.2,bus_0094.3,bus_0095.1,bus_0095.2,bus_0095.3,bus_0096.1,bus_0096.2,bus_0096.3,bus_0097.1,bus_0097.2,bus_0097.3,bus_0098.1,bus_0098.2,bus_0098.3,bus_0099.1,bus_0099.2,bus_0099.3,bus_0100.1,bus_0100.2,bus_0100.3,bus_0101.1,bus_0101.2,bus_0101.3,bus_0102.1,bus_0102.2,bus_0102.3,bus_0103.1,bus_0103.2,bus_0103.3,bus_0104.1,bus_0104.2,bus_0104.3,bus_0105.1,bus_0105.2,bus_0105.3,bus_0106.1,bus_0106.2,bus_0106.3,bus_0107.1,bus_0107.2,bus_0107.3
-0.018052997,-120.0173168,119.981917,-0.019422437,-120.0191386,119.9808211,-0.019422436,-120.0191386,119.9808211,-0.019422417,-120.0191386,119.9808211,-0.019422396,-120.0191386,119.9808211,-0.019422341,-120.0191386,119.9808212,-0.0201114,-120.0201054,119.9802314,-0.021395762,-120.0218982,119.979124,-0.022649083,-120.0236395,119.978042,-0.024158528,-120.0257371,119.9767388,-0.024566314,-120.0261124,119.9763104,-0.02119921,-120.0214082,119.979528,-0.018733171,-120.0182248,119.9813654,-0.023288567,-120.0231419,119.9774257,-0.025407338,-120.0248999,119.9752938,-0.027924735,-120.0269888,119.972761,-0.028196396,-120.0273666,119.9725282,-0.029353858,-120.0282414,119.9712102,-0.028953008,-120.0278777,119.9716032,-0.030276493,-120.0290611,119.9702374,-0.032574628,-120.0309848,119.967959,-0.034874643,-120.0328763,119.9657165,-0.037154296,-120.0347509,119.963494,-0.039387795,-120.0365876,119.9613165,-0.04015699,-120.0373138,119.9605342,-0.040125037,-120.0370833,119.9605671,-0.040889937,-120.0375976,119.9597896,-0.041629589,-120.0380948,119.9590378,-0.041935138,-120.0383423,119.9588117,-0.042533723,-120.0388274,119.9583688,-0.042913667,-120.0391202,119.9581088,-0.043187271,-120.0393312,119.9579215,-0.043723142,-120.0397444,119.9575549,-0.043982883,-120.0399448,119.9573772,-0.044046994,-120.0399943,119.9573334,-0.042127762,-120.0387723,119.9586772,-0.042489877,-120.0392648,119.9584152,-0.042489911,-120.0392648,119.9584151,-0.043026522,-120.0400069,119.9580351,-0.043610982,-120.0408154,119.9576211,-0.044306933,-120.0417783,119.9571283,-0.044813916,-120.0424799,119.9567693,-0.045062391,-120.0427085,119.9565151,-0.04458689,-120.0421577,119.9570199,-0.043905245,-120.0415961,119.9576883
-0.019996028,-120.0202711,119.9796107,-0.021548982,-120.0224351,119.978367,-0.021548981,-120.0224351,119.978367,-0.021548962,-120.0224351,119.978367,-0.021548941,-120.0224351,119.9783671,-0.021548886,-120.0224351,119.9783671,-0.023073796,-120.0245724,119.9770952,-0.025962417,-120.0285344,119.9747157,-0.029209672,-120.0330002,119.9720433,-0.033120886,-120.0383798,119.9688239,-0.034220933,-120.0393466,119.9678122,-0.022618626,-120.0238623,119.9775757,-0.020770811,-120.0213553,119.97899,-0.023771506,-120.0249267,119.9762796,-0.024940565,-120.026006,119.9749654,-0.026329504,-120.0272883,119.9734041,-0.026482091,-120.0275008,119.9732728,-0.027106759,-120.0280931,119.9724279,-0.026884985,-120.0279298,119.9726468,-0.027612944,-120.0285849,119.9718406,-0.028882257,-120.0297202,119.9704616,-0.030087199,-120.030763,119.9691901,-0.031281417,-120.0317965,119.96793,-0.032451404,-120.032809,119.9666955,-0.032598069,-120.0329494,119.9665439,-0.033342327,-120.0335696,119.9657299,-0.034266693,-120.0343589,119.9647282,-0.035160568,-120.035122,119.9637594,-0.034601345,-120.0342361,119.9643568,-0.033505358,-120.0325,119.9655276,-0.032512071,-120.0309998,119.9665753,-0.031796359,-120.0299189,119.9673302,-0.030393559,-120.0278008,119.9688097,-0.029713113,-120.0267736,119.9695273,-0.029545111,-120.02652,119.9697045,-0.037222949,-120.0380531,119.9619819,-0.038722183,-120.040184,119.9606896,-0.038722218,-120.0401841,119.9606896,-0.04101901,-120.0434681,119.9587124,-0.043521087,-120.0470462,119.9565583,-0.04650128,-120.0513085,119.9539922,-0.048672842,-120.0544146,119.9521222,-0.049242409,-120.0549384,119.9515355,-0.048723612,-120.0545437,119.9520613,-0.048711567,-120.0547315,119.9520147
-0.032221242,-120.0308981,119.9679085,-0.034687277,-120.0342057,119.9658303,-0.034687276,-120.0342057,119.9658303,-0.034687257,-120.0342057,119.9658303,-0.034687236,-120.0342057,119.9658304,-0.034687181,-120.0342057,119.9658304,-0.036426548,-120.0366797,119.9642984,-0.039655903,-120.0412846,119.9614205,-0.043468673,-120.0467314,119.9580126,-0.048061111,-120.053293,119.9539069,-0.049291996,-120.0544996,119.9525729,-0.037144041,-120.0373367,119.9639943,-0.03345825,-120.0325567,119.9668523,-0.040162939,-120.0397753,119.9610618,-0.04322443,-120.0422483,119.9580881,-0.046862036,-120.0451866,119.954555,-0.046901593,-120.0452382,119.9545284,-0.049440273,-120.0473923,119.9518953,-0.049111486,-120.0471103,119.9522199,-0.050853582,-120.048608,119.9504523,-0.054368271,-120.0514756,119.9470738,-0.058067073,-120.0545228,119.9435384,-0.061733291,-120.0575432,119.9400343,-0.065325444,-120.0605025,119.9366011,-0.066144255,-120.0612752,119.9357644,-0.067335784,-120.0620459,119.9346836,-0.069421703,-120.0636473,119.9326941,-0.071438926,-120.065196,119.9307702,-0.071677152,-120.0653535,119.930608,-0.07214381,-120.0656621,119.9302904,-0.072510826,-120.0659377,119.9300425,-0.072775117,-120.0661362,119.9298641,-0.073292736,-120.0665252,119.9295147,-0.073543626,-120.0667137,119.9293454,-0.073605552,-120.0667603,119.9293037,-0.073598692,-120.0680854,119.9289649,-0.075168722,-120.070186,119.9276525,-0.075168757,-120.0701861,119.9276524,-0.077603043,-120.0734149,119.9255946,-0.080254919,-120.0769327,119.9233526,-0.083413563,-120.0811233,119.9206818,-0.085715173,-120.0841773,119.9187355,-0.086074982,-120.0845084,119.9183674,-0.086362324,-120.0849793,119.9182104,-0.087674237,-120.0859077,119.9167957
-0.026297862,-120.0257473,119.9735605,-0.028319388,-120.0284966,119.9718953,-0.028319387,-120.0284966,119.9718953,-0.028319368,-120.0284965,119.9718953,-0.028319347,-120.0284965,119.9718954,-0.028319292,-120.0284965,119.9718954,-0.029617409,-120.0302589,119.9708085,-0.032050061,-120.0335146,119.9687225,-0.034770373,-120.0371498,119.9663759,-0.038046886,-120.0415288,119.9635492,-0.038958786,-120.0422963,119.9625572,-0.03052195,-120.031471,119.9701842,-0.02730893,-120.0271247,119.9727203,-0.033121413,-120.0337909,119.9675634,-0.035757522,-120.0361435,119.9649058,-0.038889659,-120.0389388,119.9617482,-0.039149767,-120.0393008,119.9615248,-0.040778813,-120.0407528,119.9596934,-0.040586729,-120.0406233,119.9598784,-0.041781688,-120.0416932,119.9586269,-0.044285856,-120.0438897,119.9561303,-0.047001394,-120.0462892,119.9534505,-0.049692939,-120.0486674,119.9507945,-0.052330038,-120.0509976,119.9481922,-0.052851959,-120.0514946,119.9476598,-0.05397315,-120.05243,119.946541,-0.055678019,-120.0539162,119.9448277,-0.057326727,-120.0553535,119.9431709,-0.056541565,-120.0541612,119.9439875,-0.055002843,-120.0518248,119.9455878,-0.054304218,-120.0507575,119.946296,-0.053800789,-120.0499886,119.9468064,-0.052813977,-120.0484817,119.9478067,-0.052335269,-120.0477508,119.9482919,-0.052217072,-120.0475704,119.9484117,-0.060691293,-120.0600834,119.9402664,-0.06313715,-120.063522,119.9381547,-0.063137185,-120.0635221,119.9381546,-0.066917484,-120.0688305,119.9348926,-0.071035783,-120.0746144,119.9313383,-0.075941238,-120.0815048,119.9271036,-0.079515807,-120.0865266,119.9240171,-0.080020979,-120.0869914,119.9234981,-0.080607838,-120.0880754,119.9230684,-0.082746041,-120.0901151,119.9209039
-0.027246928,-120.0251039,119.9732866,-0.029305967,-120.0277696,119.9715457,-0.029305966,-120.0277696,119.9715457,-0.029305947,-120.0277696,119.9715457,-0.029305926,-120.0277696,119.9715458,-0.029305871,-120.0277696,119.9715458,-0.03074744,-120.0297724,119.9702968,-0.033433639,-120.03349,119.9679157,-0.036337018,-120.0375257,119.9653171,-0.039834043,-120.0423872,119.9621866,-0.040795583,-120.0432713,119.9611198,-0.031382197,-120.0303242,119.9700352,-0.028278701,-120.0264368,119.9723956,-0.033947839,-120.0322931,119.9675258,-0.036549639,-120.0342897,119.964981,-0.039640993,-120.0366619,119.9619576,-0.0399388,-120.0370755,119.9617038,-0.04145525,-120.038084,119.9600697,-0.041055162,-120.0377211,119.960462,-0.042556654,-120.038982,119.9589406,-0.045293074,-120.0411049,119.9562923,-0.048052208,-120.0432777,119.9536325,-0.050786952,-120.0454312,119.9509963,-0.053466366,-120.0475412,119.9484136,-0.053877543,-120.0478968,119.9479927,-0.055369208,-120.0490036,119.9465656,-0.057343582,-120.0505209,119.9446481,-0.059252927,-120.0519882,119.9427938,-0.0596448,-120.0523565,119.9425044,-0.06041254,-120.0530782,119.9419373,-0.059977428,-120.0523691,119.9423776,-0.05966384,-120.0518582,119.9426949,-0.059049041,-120.050857,119.9433171,-0.058750746,-120.0503713,119.9436189,-0.058677089,-120.0502514,119.9436934,-0.061048451,-120.0544026,119.941271,-0.062353693,-120.0561579,119.940164,-0.062353728,-120.0561579,119.9401639,-0.064367612,-120.0588562,119.9384288,-0.066561479,-120.0617958,119.9365384,-0.069174543,-120.0652976,119.9342865,-0.071078572,-120.0678496,119.9326455,-0.071459647,-120.0682002,119.9322556,-0.071429854,-120.068272,119.9323516,-0.072099038,-120.0687256,119.9314927
-0.017993927,-120.0173508,119.9826013,-0.019413182,-120.0191689,119.9815429,-0.019413181,-120.0191689,119.9815429,-0.019413161,-120.0191689,119.981543,-0.01941314,-120.0191689,119.981543,-0.019413086,-120.0191689,119.981543,-0.020455919,-120.0205711,119.9806753,-0.02240846,-120.0231573,119.9790015,-0.024659673,-120.0261421,119.9770587,-0.02737113,-120.0297376,119.9747185,-0.028127863,-120.0303639,119.9738861,-0.020789064,-120.0209149,119.9806472,-0.018704662,-120.0182556,119.9820695,-0.022317038,-120.0222238,119.9792179,-0.023866476,-120.0235511,119.9777686,-0.025707366,-120.0251281,119.9760467,-0.02594044,-120.0254528,119.9758458,-0.02669797,-120.0260382,119.9750617,-0.026408154,-120.0257991,119.9753496,-0.027348045,-120.0266253,119.9744232,-0.028973528,-120.028,119.9729276,-0.030654035,-120.0294499,119.9713931,-0.032319615,-120.030887,119.9698722,-0.033951429,-120.0322949,119.9683823,-0.03425628,-120.0325677,119.9680983,-0.035011609,-120.0332031,119.9673996,-0.036111593,-120.0341454,119.96638,-0.037175302,-120.0350566,119.9653941,-0.036859009,-120.0344712,119.9659373,-0.036239062,-120.0333241,119.9670018,-0.034889635,-120.0312934,119.968477,-0.033917351,-120.0298304,119.9695398,-0.032011774,-120.0269636,119.9716227,-0.031087502,-120.0255732,119.9726328,-0.030859304,-120.02523,119.9728822,-0.039139084,-120.0378038,119.9636371,-0.040566641,-120.039801,119.9623597,-0.040566676,-120.039801,119.9623597,-0.042768458,-120.0428895,119.9603632,-0.045167028,-120.0462544,119.958188,-0.048023929,-120.0502628,119.9555969,-0.050105646,-120.0531839,119.9537085,-0.050382271,-120.0534386,119.9534256,-0.050798879,-120.0541588,119.9530606,-0.052161423,-120.055452,119.9514324
-0.017383633,-120.0171779,119.9824854,-0.018718823,-120.0189596,119.9815064,-0.018718822,-120.0189596,119.9815064,-0.018718803,-120.0189596,119.9815064,-0.018718782,-120.0189595,119.9815064,-0.018718727,-120.0189595,119.9815065,-0.020288784,-120.0212143,119.9800931,-0.023201171,-120.0254249,119.9774327,-0.026632549,-120.0303993,119.9742804,-0.030765573,-120.0363917,119.9704828,-0.031877962,-120.0375155,119.9692455,-0.019409235,-120.019633,119.981331,-0.018041962,-120.0180613,119.9820017,-0.019936823,-120.0199988,119.9808114,-0.020471777,-120.0203698,119.9802845,-0.021107297,-120.0208104,119.9796587,-0.021173819,-120.0209007,119.9796063,-0.02145616,-120.02109,119.9792857,-0.02103356,-120.0207027,119.9796996,-0.021889198,-120.0214705,119.9788477,-0.02298048,-120.0223488,119.9778144,-0.024154425,-120.023324,119.9767178,-0.025317916,-120.0242905,119.975631,-0.026457794,-120.0252374,119.9745663,-0.026658216,-120.0254162,119.9743827,-0.027220853,-120.0258546,119.9738317,-0.028012543,-120.0264949,119.9730696,-0.028778107,-120.027114,119.9723326,-0.027712009,-120.0255021,119.9734873,-0.025622786,-120.0223434,119.9757498,-0.024560162,-120.0207402,119.9768805,-0.023794499,-120.0195851,119.9776952,-0.022293814,-120.0173217,119.9792919,-0.021565898,-120.016224,119.9800664,-0.021386176,-120.015953,119.9802576,-0.031490405,-120.0308535,119.9700419,-0.033462098,-120.0335721,119.9683765,-0.033462133,-120.0335721,119.9683765,-0.036524225,-120.0377628,119.9657918,-0.039860061,-120.0423288,119.9629757,-0.043833431,-120.0477681,119.9596208,-0.046728752,-120.0517322,119.9571757,-0.04709343,-120.0520679,119.9568025,-0.047734295,-120.0530852,119.9563497,-0.04975375,-120.0547887,119.9544006
-0.00933503,-120.0095185,119.990554,-0.010056852,-120.0104431,119.99018,-0.010056851,-120.0104431,119.99018,-0.010056831,-120.0104431,119.99018,-0.01005681,-120.0104431,119.99018,-0.010056756,-120.010443,119.9901801,-0.01058301,-120.0111817,119.9897249,-0.011555023,-120.0125509,119.9888699,-0.012646337,-120.0140985,119.9878955,-0.013960641,-120.0159625,119.9867219,-0.014305669,-120.0162994,119.9863343,-0.010947764,-120.0114454,119.989844,-0.009679717,-120.0099655,119.9903842,-0.011646685,-120.0120597,119.9891132,-0.012355388,-120.0126825,119.9883721,-0.01319735,-120.0134223,119.9874917,-0.013450139,-120.0137743,119.9872744,-0.013423767,-120.0136901,119.9871925,-0.013046194,-120.0133518,119.9875633,-0.013772551,-120.0140366,119.9868167,-0.014661592,-120.0148207,119.9859279,-0.015867748,-120.0158979,119.9847498,-0.017063172,-120.0169655,119.9835822,-0.018234341,-120.0180114,119.9824384,-0.018328367,-120.018094,119.9823526,-0.019230917,-120.0189081,119.9814464,-0.020264914,-120.0198384,119.9804172,-0.021264812,-120.0207381,119.9794219,-0.02007492,-120.018929,119.980749,-0.017743122,-120.015384,119.9833493,-0.01630895,-120.0132265,119.9849251,-0.015275614,-120.0116722,119.9860604,-0.013250401,-120.0086265,119.9882853,-0.01226811,-120.0071494,119.9893643,-0.012025588,-120.0067847,119.9896307,-0.024519035,-120.0253434,119.9765918,-0.026884678,-120.0286916,119.9745341,-0.026884712,-120.0286916,119.9745341,-0.030540742,-120.0338646,119.9713588,-0.034523651,-120.0395009,119.9678988,-0.039267821,-120.0462156,119.9637766,-0.042724852,-120.0511093,119.9607721,-0.043261888,-120.0516033,119.9602197,-0.043661824,-120.052467,119.9599388,-0.045516268,-120.0543061,119.9580709
-0.017392423,-120.0175913,119.9822776,-0.018737061,-120.0194328,119.9812753,-0.01873706,-120.0194328,119.9812753,-0.01873704,-120.0194328,119.9812753,-0.018737019,-120.0194328,119.9812753,-0.018736965,-120.0194327,119.9812754,-0.020355536,-120.021758,119.9798379,-0.023374661,-120.0260968,119.9771443,-0.026864199,-120.0311269,119.9740116,-0.031067271,-120.0371864,119.9702376,-0.032207184,-120.0383171,119.9690297,-0.019371028,-120.020101,119.9810722,-0.018056824,-120.0185074,119.9817835,-0.019846431,-120.0204826,119.9805537,-0.020328465,-120.0208695,119.9800279,-0.020901111,-120.0213291,119.9794033,-0.021144378,-120.021668,119.9791939,-0.020951485,-120.0213861,119.9792866,-0.020759385,-120.0212565,119.979472,-0.021098724,-120.0215088,119.9791219,-0.021484058,-120.0217712,119.9787228,-0.021773929,-120.0219928,119.9783945,-0.022061174,-120.0222124,119.9780692,-0.022342548,-120.0224275,119.9777506,-0.02248486,-120.0225528,119.9776205,-0.022346659,-120.0224031,119.9776741,-0.022350873,-120.0223777,119.9775948,-0.022354896,-120.0223531,119.9775183,-0.021178092,-120.0205818,119.9787962,-0.018871939,-120.0171111,119.9813003,-0.017662686,-120.0152898,119.9826085,-0.016791388,-120.0139777,119.9835511,-0.015083702,-120.0114065,119.9853982,-0.014255399,-120.0101596,119.9862941,-0.014050893,-120.0098518,119.9865153,-0.024310619,-120.0250761,119.9758664,-0.025732319,-120.0270556,119.9746655,-0.025732354,-120.0270556,119.9746655,-0.027911526,-120.0300991,119.9728211,-0.030285464,-120.0334148,119.9708117,-0.033113021,-120.0373647,119.9684179,-0.035173356,-120.0402432,119.9666735,-0.035178523,-120.0402475,119.9666648,-0.036393414,-120.0419618,119.9656122,-0.038736647,-120.0441895,119.9631432
-0.02268041,-120.0225526,119.9776127,-0.024477822,-120.0249699,119.9761795,-0.024477821,-120.0249699,119.9761795,-0.024477801,-120.0249699,119.9761795,-0.02447778,-120.0249699,119.9761795,-0.024477725,-120.0249699,119.9761796,-0.02581808,-120.0269244,119.9749618,-0.028321551,-120.0305861,119.9726824,-0.030977788,-120.034509,119.9702262,-0.034177096,-120.0392345,119.9672675,-0.035058072,-120.0401453,119.9663353,-0.026133989,-120.027073,119.9750423,-0.023586147,-120.0237653,119.9768904,-0.028087233,-120.0286906,119.9732647,-0.030067945,-120.0303309,119.9714621,-0.032421272,-120.0322798,119.9693205,-0.032553663,-120.0324639,119.9692073,-0.033930871,-120.0335996,119.9678649,-0.033936787,-120.0335609,119.967933,-0.034640997,-120.0342223,119.9671557,-0.036414466,-120.0356822,119.9654927,-0.038140929,-120.0371393,119.9638772,-0.039852064,-120.0385835,119.962276,-0.041528514,-120.0399984,119.9607074,-0.04208735,-120.0405425,119.9601069,-0.042115579,-120.0404223,119.9602264,-0.042724653,-120.040862,119.9597275,-0.043313609,-120.0412872,119.9592451,-0.043798953,-120.0417729,119.9590216,-0.044749852,-120.0427245,119.9585839,-0.046219975,-120.0445513,119.9574614,-0.047278981,-120.0458673,119.9566527,-0.049353941,-120.0484462,119.9550683,-0.050360093,-120.0496969,119.9543,-0.050608478,-120.0500056,119.9541103,-0.043508021,-120.0414902,119.9591976,-0.04364931,-120.0416377,119.9591632,-0.043649345,-120.0416377,119.9591631,-0.043837329,-120.0418354,119.9591389,-0.044041984,-120.0420508,119.9591127,-0.044285523,-120.0423072,119.9590817,-0.044462827,-120.042494,119.9590592,-0.044651971,-120.042668,119.9588653,-0.044153474,-120.0420251,119.959408,-0.043261778,-120.041201,119.9602786
